municipality,district
Bratkovice,['Příbram']
Bratronice,"['Blatná', 'Kladno']"
Bratrušov,['Šumperk']
Bratčice,"['Čáslav', 'Židlochovice']"
Bratřejov,['Vizovice']
Bratřice,['Pacov']
Bratříkovice,['Opava']
Bratřínov,['Černošice']
Bravantice,['Bílovec']
Braňany,['Most']
Braškov,['Kladno']
Bražec,['Karlovy Vary']
Brloh,"['Přelouč', 'Český Krumlov']"
Brniště,['Česká Lípa']
Brno,['Brno']
Brníčko,['Zábřeh']
Brnířov,['Domažlice']
Brněnec,['Svitavy']
Brod nad Dyjí,['Mikulov']
Brod nad Tichou,['Tachov']
Brodce,['Mladá Boleslav']
Brodec,['Louny']
Brodek u Konice,['Konice']
Brodek u Prostějova,['Prostějov']
Brodek u Přerova,['Přerov']
Brodeslavy,['Kralovice']
Broumov,"['Broumov', 'Tachov']"
Broumy,['Beroun']
Brozany nad Ohří,['Litoměřice']
Brtnice,['Jihlava']
Brtnička,['Jihlava']
Brumov,['Tišnov']
Brumov-Bylnice,['Valašské Klobouky']
Brumovice,"['Hustopeče', 'Opava']"
Bruntál,['Bruntál']
Brusné,['Bystřice pod Hostýnem']
Bruzovice,['Frýdek-Místek']
Brušperk,['Frýdek-Místek']
Brzice,['Náchod']
Brzkov,['Jihlava']
Brzánky,['Roudnice nad Labem']
Brázdim,['Brandýs n. Lab.-St.Boleslav']
Brňany,['Litoměřice']
Brťov-Jeneč,['Blansko']
Bubeneč,['Praha']
Bubenské nábřeží,['Praha']
Bublava,['Kraslice']
Bubny,['Praha']
Bubovice,['Beroun']
Buchlovice,['Uherské Hradiště']
Budeč,"['Žďár nad Sázavou', 'Dačice']"
Budiměřice,['Nymburk']
Budislav,"['Litomyšl', 'Soběslav']"
Budišov,['Třebíč']
Budišov nad Budišovkou,['Vítkov']
Budišovice,['Opava']
Budkov,"['Prachatice', 'Moravské Budějovice']"
Budovec,['Praha']
Budyně,['Vodňany']
Budyně nad Ohří,['Roudnice nad Labem']
Budíkov,['Humpolec']
Budíškovice,['Dačice']
Budčeves,['Jičín']
Budějovická,['Praha']
Budětice,['Sušice']
Budětsko,['Konice']
Bujanov,['Kaplice']
Bujesily,['Rokycany']
Buk,"['Přerov', 'Vimperk']"
Bukov,['Bystřice nad Pernštejnem']
Bukovany,"['Benešov', 'Kyjov', 'Příbram', 'Sokolov', 'Olomouc']"
Bukovec,"['Jablunkov', 'Stod']"
Bukovice,"['Tišnov', 'Náchod']"
Bukovina,['Blansko']
Bukovina nad Labem,['Pardubice']
Bukovina u Přelouče,['Přelouč']
Bukovina u Čisté,['Jilemnice']
Bukovinka,['Blansko']
Bukovka,['Pardubice']
Bukovno,['Mladá Boleslav']
Bukovník,['Sušice']
Buková,"['Přeštice', 'Prostějov']"
Buková u Příbramě,['Příbram']
Bukvice,['Jičín']
Bulhary,['Břeclav']
Bulovka,"['Frýdlant', 'Praha']"
Butoves,['Jičín']
Buzice,['Blatná']
Bučina,['Vysoké Mýto']
Bučovice,['Bučovice']
Bučí,['Nýřany']
Buřenice,['Pacov']
Buš,['Černošice']
Bušanovice,['Prachatice']
Bušovice,['Rokycany']
Buštěhrad,['Kladno']
Bušín,['Šumperk']
Bykoš,['Beroun']
Bylany,['Chrudim']
Bynovec,['Děčín']
Bystrovany,['Olomouc']
Bystročice,['Olomouc']
Bystrá,['Humpolec']
Bystrá nad Jizerou,['Semily']
Bystré,"['Polička', 'Dobruška']"
