municipality,district
Bítov,"['Znojmo', 'Bílovec']"
Bítovany,['Chrudim']
Bítovčice,['Jihlava']
Býchory,['Kolín']
Býkev,['Mělník']
Býkov-Láryšov,['Krnov']
Býkovice,['Blansko']
Býčkovice,['Litoměřice']
Býškovice,['Hranice']
Býšovec,['Bystřice nad Pernštejnem']
Býšť,['Holice']
Běchary,['Jičín']
Běhařov,['Klatovy']
Běhařovice,['Znojmo']
Běleč,"['Kladno', 'Tábor', 'Tišnov']"
Běleč nad Orlicí,['Hradec Králové']
Bělkovice-Lašťany,['Olomouc']
Běloky,['Kladno']
Bělotín,['Hranice']
Bělov,['Otrokovice']
Bělušice,"['Kolín', 'Most']"
Bělá,"['Semily', 'Pelhřimov', 'Světlá nad Sázavou', 'Hlučín']"
Bělá nad Radbuzou,['Domažlice']
Bělá nad Svitavou,['Svitavy']
Bělá pod Bezdězem,['Mladá Boleslav']
Bělá pod Pradědem,['Jeseník']
Bělá u Jevíčka,['Moravská Třebová']
Bělčice,['Blatná']
Běrunice,['Poděbrady']
Běstovice,['Vysoké Mýto']
Běstvina,['Chrudim']
Běšiny,['Klatovy']
Běštín,['Hořovice']
Břasy,['Rokycany']
Břeclav,['Břeclav']
Břehov,['České Budějovice']
Břehy,['Přelouč']
Břest,['Kroměříž']
Břestek,['Uherské Hradiště']
Břevnice,['Havlíčkův Brod']
Březejc,['Velké Meziříčí']
Březina,"['Mnichovo Hradiště', 'Jindřichův Hradec', 'Rokycany', 'Jičín', 'Moravská Třebová', 'Šlapanice', 'Tišnov']"
Březina (vojenský újezd),['Vyškov']
Březinky,['Moravská Třebová']
Březiny,['Polička']
Březnice,"['Příbram', 'Tábor', 'Zlín']"
Březno,"['Mladá Boleslav', 'Chomutov']"
Březník,['Náměšť nad Oslavou']
Březolupy,['Uherské Hradiště']
Březovice,['Mladá Boleslav']
Březová,"['Hořovice', 'Karlovy Vary', 'Sokolov', 'Uherský Brod', 'Vizovice', 'Vítkov']"
Březová nad Svitavou,['Svitavy']
Březová-Oleško,['Černošice']
Březsko,['Konice']
Březské,['Velké Meziříčí']
Březí,"['Říčany', 'Blatná', 'Velké Meziříčí', 'Mikulov']"
Březí nad Oslavou,['Žďár nad Sázavou']
Březůvky,['Zlín']
Břežany,"['Rakovník', 'Horažďovice', 'Znojmo']"
Břežany I,['Kolín']
Břežany Ii,['Český Brod']
Břidličná,['Rýmařov']
Břvany,['Louny']
Bříství,['Lysá nad Labem']
Bříza,['Roudnice nad Labem']
Bříšťany,['Hořice']
Bžany,['Teplice']
Cebiv,['Stříbro']
Cehnice,['Strakonice']
Cejle,['Jihlava']
Cekov,['Rokycany']
Cep,['Třeboň']
Cerekvice nad Bystřicí,['Hořice']
Cerekvice nad Loučnou,['Litomyšl']
Cerekvička-Rosice,['Jihlava']
Cerhenice,['Kolín']
Cerhonice,['Písek']
Cerhovice,['Hořovice']
Cetechovice,['Kroměříž']
Cetenov,['Liberec']
Cetkovice,['Boskovice']
Cetoraz,['Pacov']
Cetyně,['Příbram']
Chabařovice,['Ústí nad Labem']
Chabeřice,['Kutná Hora']
Chaloupky,['Hořovice']
Chanovice,['Horažďovice']
Charvatce,['Mladá Boleslav']
Charváty,['Olomouc']
Chbany,['Kadaň']
Cheb,['Cheb']
Chelčice,['Vodňany']
Cheznovice,['Rokycany']
Chlebičov,['Opava']
Chleby,"['Benešov', 'Nymburk']"
Chleny,['Kostelec nad Orlicí']
Chlistov,['Klatovy']
Chlum,"['Vlašim', 'Blatná', 'Blovice', 'Rokycany', 'Česká Lípa', 'Třebíč']"
Chlum Svaté Maří,['Sokolov']
Chlum u Třeboně,['Třeboň']
Chlum-Korouhvice,['Bystřice nad Pernštejnem']
Chlumany,['Prachatice']
Chlumec,"['Český Krumlov', 'Ústí nad Labem']"
Chlumec nad Cidlinou,['Hradec Králové']
Chlumek,['Velké Meziříčí']
Chlumy,['Nepomuk']
Chlumín,['Neratovice']
Chlumčany,"['Přeštice', 'Louny']"
Chlumětín,['Žďár nad Sázavou']
Chlustina,['Hořovice']
Chlístov,"['Benešov', 'Dobruška', 'Třebíč']"
Chlístovice,['Kutná Hora']
Chmelná,['Vlašim']
Chmelík,['Litomyšl']
Chobot,['Blatná']
Chocenice,['Blovice']
Chocerady,['Benešov']
Choceň,['Vysoké Mýto']
Chocnějovice,['Mnichovo Hradiště']
Chocomyšl,['Domažlice']
Chodouny,['Roudnice nad Labem']
Chodouň,['Beroun']
Chodov,"['Domažlice', 'Karlovy Vary', 'Sokolov']"
Chodovlice,['Lovosice']
Chodová Planá,['Tachov']
Chodská Lhota,['Domažlice']
Chodský Újezd,['Tachov']
Cholenice,['Jičín']
Cholina,['Litovel']
Choltice,['Přelouč']
Chomle,['Rokycany']
Chomutice,['Hořice']
Chomutov,['Chomutov']
Chomýž,['Bystřice pod Hostýnem']
Choratice,['Benešov']
Chornice,['Moravská Třebová']
Chorušice,['Mělník']
Choryně,['Valašské Meziříčí']
Choteč,"['Černošice', 'Jičín', 'Pardubice']"
Chotilsko,['Dobříš']
Chotiměř,['Lovosice']
Chotiněves,['Litoměřice']
Chotovice,"['Nový Bor', 'Litomyšl']"
Chotoviny,['Tábor']
Chotusice,['Čáslav']
Chotutice,['Kolín']
Chotyně,['Liberec']
Chotíkov,['Nýřany']
Chotýčany,['České Budějovice']
Chotýšany,['Benešov']
Chotěboř,['Chotěboř']
Chotěbudice,['Moravské Budějovice']
Chotěbuz,['Český Těšín']
Chotěmice,['Soběslav']
Chotěnov,['Litomyšl']
Chotětov,['Mladá Boleslav']
Chotěvice,['Trutnov']
Chotěšice,['Poděbrady']
Chotěšov,"['Stod', 'Lovosice']"
Choustník,['Tábor']
Choustníkovo Hradiště,['Dvůr Králové nad Labem']
Choťovice,['Kolín']
Choťánky,['Poděbrady']
Chožov,['Louny']
Chraberce,['Louny']
Chrast,['Chrudim']
Chrastava,['Liberec']
Chrastavec,['Svitavy']
Chrastavice,['Domažlice']
Chraštice,['Příbram']
Chrbonín,['Tábor']
Chroboly,['Prachatice']
Chromeč,['Šumperk']
Chropyně,['Kroměříž']
Chroustov,['Poděbrady']
Chroustovice,['Chrudim']
Chrtníky,['Přelouč']
Chrtníč,['Havlíčkův Brod']
Chrudichromy,['Boskovice']
Chrudim,['Chrudim']
Chrustenice,['Beroun']
Chrást,"['Nymburk', 'Příbram', 'Plzeň']"
Chrášťany,"['Benešov', 'Černošice', 'Český Brod', 'Rakovník', 'Týn nad Vltavou']"
Chrášťovice,['Strakonice']
Chržín,['Slaný']
Chuchelna,['Semily']
Chuchelná,['Kravaře']
Chudenice,['Klatovy']
Chudenín,['Klatovy']
Chuderov,['Ústí nad Labem']
Chudeřice,['Hradec Králové']
Chudoslavice,['Litoměřice']
Chudíř,['Mladá Boleslav']
Chudčice,['Kuřim']
Chvalatice,['Znojmo']
Chvaletice,['Přelouč']
Chvaleč,['Trutnov']
Chvalkovice,"['Jaroměř', 'Bučovice']"
Chvalnov-Lísky,['Kroměříž']
Chvalovice,"['Prachatice', 'Znojmo']"
Chvalíkovice,['Opava']
Chvalčov,['Bystřice pod Hostýnem']
Chvalšiny,['Český Krumlov']
Chvatěruby,['Kralupy nad Vltavou']
Chvojenec,['Holice']
Chválenice,['Plzeň']
Chyjice,['Jičín']
Chyňava,['Beroun']
Chyše,['Karlovy Vary']
Chyšky,['Milevsko']
Chyšná,['Pelhřimov']
Chářovice,['Benešov']
Chýnice,['Černošice']
Chýnov,['Tábor']
Chýně,['Černošice']
Chýstovice,['Pelhřimov']
Chýšť,['Pardubice']
Chřenovice,['Světlá nad Sázavou']
Chřibská,['Varnsdorf']
Chříč,['Kralovice']
Cidlina,['Moravské Budějovice']
Cikháj,['Žďár nad Sázavou']
Citice,['Sokolov']
Citonice,['Znojmo']
Citov,['Přerov']
Cizkrajov,['Dačice']
Cotkytle,['Lanškroun']
Crhov,['Boskovice']
Ctiboř,"['Vlašim', 'Tachov']"
Ctidružice,['Znojmo']
Ctiměřice,['Mladá Boleslav']
Ctiněves,['Roudnice nad Labem']
Ctětín,['Chrudim']
Cvikov,['Nový Bor']
Cvrčovice,"['Kladno', 'Pohořelice']"
Církvice,"['Kolín', 'Kutná Hora']"
Císařov,['Přerov']
Cítoliby,['Louny']
Cítov,['Mělník']
Daleké Dušníky,['Dobříš']
Dalečín,['Bystřice nad Pernštejnem']
Dalešice,"['Jablonec nad Nisou', 'Třebíč']"
Dalovice,"['Mladá Boleslav', 'Karlovy Vary']"
Dambořice,['Kyjov']
Damnice,['Moravský Krumlov']
Damníkov,['Lanškroun']
Darkovice,['Hlučín']
Daskabát,['Olomouc']
Dasnice,['Sokolov']
Dasný,['České Budějovice']
Davle,['Černošice']
Dačice,['Dačice']
Daňkovice,['Nové Město na Moravě']
Dašice,['Pardubice']
Deblín,['Tišnov']
Dehtáře,['Pelhřimov']
Desná,"['Tanvald', 'Litomyšl']"
Dešenice,['Klatovy']
Dešná,"['Dačice', 'Vizovice']"
Dešov,['Moravské Budějovice']
Deštnice,['Žatec']
Deštná,"['Jindřichův Hradec', 'Boskovice']"
Deštné v Orlických horách,['Dobruška']
Divec,['Hradec Králové']
Divišov,['Benešov']
Diváky,['Hustopeče']
Dlažkovice,['Lovosice']
Dlažov,['Klatovy']
Dlouhomilov,['Šumperk']
Dlouhopolsko,['Poděbrady']
Dlouhoňovice,['Žamberk']
Dlouhá Brtnice,['Jihlava']
Dlouhá Lhota,"['Mladá Boleslav', 'Příbram', 'Tábor', 'Blansko']"
Dlouhá Loučka,"['Moravská Třebová', 'Uničov']"
Dlouhá Stráň,['Bruntál']
Dlouhá Třebová,['Ústí nad Orlicí']
Dlouhá Ves,"['Sušice', 'Havlíčkův Brod']"
Dlouhé,['Nové Město na Moravě']
Dlouhý Most,['Liberec']
Dlouhý Újezd,['Tachov']
Dnešice,['Stod']
Dobelice,['Moravský Krumlov']
Dobev,['Písek']
Dobkovice,['Děčín']
Dobratice,['Frýdek-Místek']
Dobrkovice,['Zlín']
Dobrná,['Děčín']
Dobrochov,['Prostějov']
Dobrohošť,['Dačice']
Dobromilice,['Prostějov']
Dobroměřice,['Louny']
Dobronice u Bechyně,['Tábor']
Dobronín,['Jihlava']
Dobroslavice,['Hlučín']
Dobroutov,['Jihlava']
Dobrovice,['Mladá Boleslav']
Dobrovítov,['Čáslav']
Dobrovíz,['Černošice']
Dobročkovice,['Bučovice']
Dobročovice,['Brandýs n. Lab.-St.Boleslav']
Dobruška,['Dobruška']
Dobrá,['Frýdek-Místek']
Dobrá Voda,"['Pelhřimov', 'Velké Meziříčí']"
Dobrá Voda u Hořic,['Hořice']
Dobrá Voda u Pacova,['Pacov']
Dobrá Voda u Českých Budějovic,['České Budějovice']
Dobré,['Dobruška']
Dobré Pole,['Mikulov']
Dobrčice,['Přerov']
Dobršín,['Sušice']
Dobřany,"['Stod', 'Dobruška']"
